Name,Age,Level,Team,Pos,Avg Rank,BaGS,FScore,PG+,PL,STS
Dexters Peralta,17,CPX,NYY,SS,1373.5,,1222,,,1525
Jose Rivas,17,DSL,LAD,C,1373.5,,1580,,,1167
Eliezer Alfonzo,25,AAA,LAD,C,1373.6,1520,942,1701,812,1893
Kevin Bruggeman,23,A+,LAA,C,1374,1519,1696,1370,1080,1205
Jose Martinez,17,DSL,CIN,OF,1374,,,,,1374
Michael Martinez,18,DSL,ATL,CF,1374.5,,1396,,,1353
Maikol Hernandez,21,A+,BAL,SS,1375.25,1044,,1137,615,2705
Heriberto Rincon,19,DSL,NYM,CF,1375.5,,1250,,,1501
Yohendry Sanchez,18,DSL,SFG,C,1376,,1132,,,1620
Abdias De La Cruz,20,A,ARI,LF,1376.8,821,1922,1072,934,2135
Luis De Leon,18,DSL,HOU,C,1377.5,,1406,,,1349
Arxy Hernandez,21,A+,CHW,3B,1378,1103,1997,904,868,2018
Angel Tejada,21,A+,BAL,2B,1378.3333333333333,1284,,1740,,1111
Eddie Rynders,19,A,PIT,3B,1378.3333333333333,,1237,1226,,1672
Miguel Rivera,18,DSL,BOS,C,1379,,,,,1379
Jared Jones,21,A+,PIT,1B,1379.3333333333333,846,,2029,,1263
Yojackson Laya,18,DSL,LAD,SS,1380,,,,,1380
Jonathan Vastine,22,A+,SDP,SS,1380.3333333333333,853,,1671,,1617
Matt Coutney,25,AA,LAA,1B,1382.2,1370,1897,1384,849,1411
Ryan Weingartner,20,A,STL,2B,1382.6666666666667,947,,1915,,1286
Jacob Humphrey,22,A,COL,OF,1383,,,,,1383
Jordyn Adams,25,MLB,BAL,RF,1383.5,1289,,1492,1012,1741
Nolan Beltran,20,A,PHI,SS,1383.5,1129,1667,1528,,1210
Omar Reyes,20,DSL,KCR,1B,1383.5,,1260,,,1507
Bryson Ware,24,AA,PHI,3B,1383.8,1031,1735,1097,870,2186
Wooyeoul Shin,23,A,TBR,1B,1384.75,1578,,1496,1062,1403
Beau Ankeney,22,A,DET,1B,1387,,,,,1387
Kody Huff,24,AAA,CLE,C,1388,968,2133,1330,858,1651
Wilberson De Pena,18,DSL,NYY,OF,1390.5,,1538,,,1243
Alexander Requena,19,DSL,MIA,C,1391,,1258,,,1524
Bladimir Restituyo,23,AA,MIL,CF,1391.25,1298,,1166,1147,1954
Nolan Clifford,23,AAA,COL,3B,1392,1854,,1302,518,1894
Dorian Soto,17,DSL,BOS,SS,1392,,1380,,,1404
Vincent Perozo,22,A+,NYM,C,1392.2,1396,1892,1124,835,1714
Aldo Gaxiola,19,CPX,TOR,3B,1392.5,,1243,,,1542
John Lopez,19,CPX,KCR,DH,1393,,,,,1393
Viandel Pena,24,AAA,WSN,2B,1394.5,1217,,1379,755,2227
Ryan Reckley,20,A+,SFG,2B,1394.8,1235,2051,1238,836,1614
Agustin Acosta,20,DSL,LAD,RF,1395.5,,1630,,,1161
Gavin Turley,21,A,ATH,OF,1395.5,690,2062,1211,,1619
Justin Ramirez,20,DSL,NYM,OF,1396.5,,1303,,,1490
Chase Strumpf,27,AAA,CHC,1B,1396.5,1402,1902,1191,,1091
Marcus Smith,24,AAA,TEX,CF,1396.8,733,2115,1305,759,2072
Alfredo Rodriguez,19,CPX,TBR,C,1397,,,,,1397
Joe Naranjo,24,AA,WSN,1B,1397.25,953,,1620,773,2243
Jonathan Ornelas,25,MLB,ATL,3B,1397.75,1224,,1500,965,1902
Jason Schiavone,22,A+,HOU,C,1398.6,1276,1962,1098,533,2124
Angel Guzman,19,CPX,SFG,1B,1399.5,,1300,,,1499
Kedaur Trujillo,21,A+,HOU,C,1399.75,1384,,1409,753,2053
Andry Batista,18,CPX,TEX,CF,1400,,,,,1400
Myles Smith,22,A+,CIN,CF,1400.4,1619,1019,1599,995,1770
Daniel Campos,19,DSL,CHC,C,1400.5,,1352,,,1449
Tatem Levins,26,AA,TBR,C,1400.6,1048,2035,1651,833,1436
Cole Fontenelle,23,AA,LAA,3B,1400.8,1208,1045,1235,1031,2485
Jose Rodriguez,18,DSL,ARI,C,1401,,,,,1401
