Name,Age,Level,Team,Avg Rank,DIGS,FScore,PG+,PL,STS
Kendry Chourio,17,A,KCR,411,,1167,329,94,54
Ryan Harbin,23,AAA,PIT,411.5,,177.5,,596,461
Liomar Martinez,20,A,MIA,415.4,151,615,129,186,996
Ethan Dorchies,18,A,MIL,417.8,64,1167,81,259,518
Carson Seymour,26,MLB,SFG,418.375,387,452.5,748,,86
Alexander Alberto,23,A+,CHW,419,,94,,609,554
R.J. Dabovich,26,AAA,SFG,420,,,,,420
Duncan Davitt,25,AAA,CHW,421.9,594,876.5,89,182,368
Brandyn Garcia,25,MLB,ARI,422,,152,,1027,87
Bryce Montes de Oca,28,MLB,WSN,422,,,,,422
Hudson Leach,23,AAA,HOU,423.6666666666667,,241,,237,793
Josh Mallitz,23,AA,SDP,424,,525,,319,428
Will Schomberg,24,AA,MIA,424.4,746,387,249,216,524
Hunter Bigge,27,MLB,TBR,424.5,,518,,,331
Khristian Curtis,23,AA,PIT,425,345,698,163,246,673
Logan Workman,26,AAA,TBR,426.5,270,755,333,,348
Elvis Alvarado,26,MLB,ATH,427.6666666666667,,172,863,,248
Jeremy Wu-Yelland,26,AA,BOS,428,,92,928,282,410
Anderson Pilar,27,AAA,ATL,429.25,,358.5,,,500
Garrett Edwards,23,A+,TBR,429.9,402,503.5,190,244,810
Ryan Brown,22,A+,LAD,430.5,,,,417,444
Silvano Hechavarria,22,A+,TOR,430.7,113,507.5,178,136,1219
Bailey Horn,27,MLB,DET,430.75,,491.5,,,370
Colby Martin,24,AAA,MIA,432.1666666666667,,41.5,,381,874
Alex Cook,24,AA,TBR,432.5,,245,844,277,364
Levi Wells,23,AAA,BAL,432.5,189,868.5,291,382,432
Hayden Durke,23,AAA,ARI,433.3333333333333,,39,,586,675
Rayven Antonio,19,A,ATL,434.2,198,778,132,185,878
Will Sanders,23,AAA,CHC,435.7,430,999.5,117,209,423
Austin Cates,22,A+,TOR,437.3,298,653.5,164,177,894
Jose Castillo,29,MLB,BAL,438.25,,732.5,,,144
Ismael Agreda,21,A+,TEX,441.7,419,422.5,180,349,838
Chandler Marsh,22,A+,BAL,442.6666666666667,,57,,506,765
Charlie Beilenson,25,AA,SEA,443.3333333333333,,445,,459,426
Mason Adams,24,AAA,CHW,445.5,,755,,,136
